Game ID,Home Team,Home Shots,Home Shots Used,Home CHAD,Away Team,Away Shots,Away Shots Used,Away CHAD
21500520,GSW,87,87,346.0206047,CHA,86,86,356.8658648
21500521,ATL,87,80,231.027304,NYK,84,83,228.3373151
21500522,CHI,83,0,,MIL,102,4,539.5084059
21500523,DAL,98,75,234.7361152,SAC,99,76,255.9194082
21500524,LAL,91,90,319.5544963,GSW,86,86,315.9900898
21500525,MIA,82,10,224.0100931,NYK,70,8,348.2218165
21500526,ORL,79,43,197.5115177,IND,76,32,199.1363465
21500527,WAS,76,76,309.4449668,CLE,89,89,286.4870702
21500528,BOS,91,78,205.2911559,DET,74,68,218.4543335
21500529,BKN,78,5,118.1474447,TOR,80,16,224.4893202
21500530,MIN,73,70,178.940167,DEN,81,75,245.4888953
21500531,NOP,92,86,204.3873458,DAL,87,81,246.0361315
21500532,SAS,86,1,261.362702,UTA,79,0,
21500533,PHX,84,23,238.2246901,CHA,87,20,213.8654825
21500534,OKC,83,81,268.195691,MEM,90,90,256.2285256
21500535,POR,86,82,256.3727766,LAC,83,80,237.7004083
21500536,PHI,86,20,246.2311615,ATL,92,19,188.3893162
21500537,CHI,94,0,,BOS,98,1,150.0781796
21500538,HOU,75,56,255.7345641,UTA,78,66,234.9977765
21500539,SAC,85,72,254.6306643,LAL,76,64,264.8169882
21500540,WAS,84,84,266.4049363,TOR,75,75,288.1174886
21500541,BKN,73,10,240.5523577,ORL,83,8,202.7247672
21500542,MEM,82,69,157.7667198,DEN,87,72,210.2920649
21500543,MIN,79,62,234.3291721,CLE,81,68,262.60252
21500544,NOP,83,43,249.2927186,IND,81,45,220.9852109
21500545,MIL,80,26,224.2503597,DAL,84,34,240.1515923
21500546,SAS,93,1,401.450929,NYK,91,0,
21500547,PHX,92,15,286.0469684,MIA,73,17,266.8047495
21500548,POR,96,79,251.4911247,GSW,87,71,236.4839767
21500549,LAL,84,82,282.3052973,OKC,89,89,302.3960922
21500550,LAC,91,90,237.1028557,CHA,84,83,270.5921391
21500551,ATL,94,44,224.229339,CHI,83,36,217.2474848
21500552,ORL,74,7,300.351522,WAS,76,7,203.2090251
21500553,DET,92,39,263.075204,BKN,82,49,254.4718451
21500554,PHI,80,8,282.2148409,TOR,75,8,219.881739
21500555,UTA,71,70,277.3523785,MIA,82,81,277.3041561
21500556,SAC,92,65,286.7031707,GSW,87,63,294.156986
21500557,MIN,79,63,184.7016567,DAL,77,60,234.3142074
21500558,LAC,89,83,268.6520903,NOP,100,97,257.4347817
21500559,PHI,77,0,,CLE,90,3,253.1738993
21500560,MEM,84,71,205.9417844,BOS,88,64,209.3422544
21500561,HOU,89,21,217.6418405,IND,90,24,253.3329971
21500562,NYK,84,84,289.5866983,MIL,80,80,303.826023
21500563,DEN,77,66,239.5550732,CHA,83,72,239.8384856
21500564,POR,100,56,205.0878706,OKC,76,39,189.3919807
21500565,LAL,89,81,248.9929074,UTA,69,67,256.8716988
21500566,BKN,73,2,268.0064951,SAS,82,1,273.4311075
21500567,CHI,81,81,272.4212429,WAS,99,98,293.5892322
21500568,GSW,86,85,396.627796,MIA,91,90,354.1129526
21500569,IND,79,3,182.7777348,PHX,89,4,212.8195629
21500570,DET,91,41,321.3681587,SAS,85,39,251.408985
21500571,NYK,81,78,351.58915,BOS,86,84,346.1351898
21500572,MEM,72,52,206.6198732,HOU,77,54,191.2597378
21500573,MIL,93,2,237.299893,CHI,85,0,
21500574,MIN,81,45,215.1252494,OKC,84,51,231.6778402
21500575,DAL,79,32,238.6827762,CLE,97,42,202.1320837
21500576,LAL,87,76,283.8574303,NOP,91,77,266.427618
21500577,CHA,82,63,229.8715805,ATL,81,50,210.2241991
21500578,WAS,84,84,292.1881408,MIL,72,71,330.863341
21500579,BKN,86,0,,NYK,91,2,181.338069
21500580,BOS,90,66,221.5391099,IND,91,74,254.4648718
21500581,HOU,75,4,326.5259344,MIN,78,6,416.3372849
21500582,OKC,82,82,328.8283908,DAL,82,82,305.6382588
21500583,DEN,87,58,252.4700325,GSW,88,45,248.5938981
21500584,POR,88,49,259.4153404,UTA,76,48,234.8352531
21500585,SAC,84,13,318.5144722,NOP,100,26,292.5948708
21500586,LAC,94,86,282.8916046,MIA,70,57,228.6346711
21500591,UTA,83,79,230.5336072,SAC,74,65,271.8903361
21500592,GSW,86,86,414.1327589,LAL,90,88,419.942796
21500593,IND,80,2,218.6014246,WAS,98,0,
21500594,OKC,89,89,321.0135135,MIN,85,85,313.2266511
21500595,BOS,96,43,243.9392145,PHX,89,32,250.0792283
21500596,BKN,85,1,181.0171954,POR,93,1,586.092225
21500597,CHI,86,79,221.0105581,DAL,77,72,227.0642392
21500598,NOP,87,6,150.8037875,CHA,86,4,201.0113401
21500599,MIL,96,2,260.9749696,ATL,100,0,
21500600,DEN,78,23,228.2147885,MIA,81,42,204.0326591
21500601,HOU,74,1,241.4480688,CLE,87,2,1036.556914
21500615,NYK,97,95,371.6559428,PHI,102,102,355.1649515
21500616,CHA,88,54,227.0795242,UTA,104,73,222.0866508
21500617,WAS,77,77,285.0546332,POR,84,84,336.7566725
21500618,MEM,75,74,231.7767028,NOP,74,74,262.1774953
21500619,DET,95,9,310.9060159,CHI,84,12,330.4641689
21500620,ATL,80,1,1247.988786,ORL,87,3,277.5364674
21500621,TOR,85,30,288.7071035,BKN,76,21,199.128155
21500622,CLE,77,0,,GSW,85,0,
21500623,DAL,93,12,205.0751038,BOS,94,7,185.0001676
21500624,LAC,91,91,343.8379182,HOU,88,88,317.2986244
21500625,MIA,74,1,113.2700637,MIL,74,0,
21500626,NOP,83,3,325.0544564,MIN,76,2,378.0686466
